,pca_m0,proba
0,-0.02,0.993635
1,-0.01998,0.99362487
2,-0.019960000000000002,0.9936148
3,-0.01994,0.99360466
4,-0.01992,0.9935946
5,-0.0199,0.9935844
6,-0.019880000000000002,0.9935743
7,-0.01986,0.9935641
8,-0.01984,0.9935539
9,-0.01982,0.9935437
10,-0.0198,0.99353343
11,-0.01978,0.99352324
12,-0.01976,0.9935129
13,-0.01974,0.9935026
14,-0.01972,0.99349236
15,-0.0197,0.99348205
16,-0.01968,0.99347174
17,-0.01966,0.9934614
18,-0.01964,0.993451
19,-0.019620000000000002,0.9934407
20,-0.0196,0.99343026
21,-0.01958,0.9934198
22,-0.01956,0.9934094
23,-0.019540000000000002,0.993399
24,-0.01952,0.9933885
25,-0.0195,0.99337804
26,-0.01948,0.9933675
27,-0.01946,0.993357
28,-0.01944,0.9933465
29,-0.01942,0.99333596
30,-0.0194,0.99332535
31,-0.01938,0.9933148
32,-0.01936,0.9933042
33,-0.01934,0.9932936
34,-0.01932,0.993283
35,-0.0193,0.99327236
36,-0.019280000000000002,0.9932616
37,-0.01926,0.993251
38,-0.01924,0.9932403
39,-0.01922,0.99322957
40,-0.019200000000000002,0.9932189
41,-0.01918,0.9932081
42,-0.01916,0.9931973
43,-0.01914,0.99318653
44,-0.01912,0.9931758
45,-0.0191,0.993165
46,-0.01908,0.99315417
47,-0.01906,0.9931433
48,-0.01904,0.9931325
49,-0.01902,0.9931215
50,-0.019,0.99311066
51,-0.01898,0.99309975
52,-0.01896,0.9930888
53,-0.01894,0.9930778
54,-0.01892,0.99306685
55,-0.0189,0.9930559
56,-0.01888,0.9930449
57,-0.018860000000000002,0.9930338
58,-0.01884,0.9930228
59,-0.01882,0.9930117
60,-0.0188,0.9930006
61,-0.01878,0.9929896
62,-0.01876,0.99297845
63,-0.01874,0.99296737
64,-0.01872,0.9929562
65,-0.0187,0.992945
66,-0.01868,0.9929339
67,-0.01866,0.99292266
68,-0.01864,0.9929115
69,-0.01862,0.9929002
70,-0.0186,0.9928889
71,-0.01858,0.9928777
72,-0.01856,0.99286646
73,-0.01854,0.9928552
74,-0.018520000000000002,0.99284387
75,-0.0185,0.99283254
76,-0.01848,0.99282104
77,-0.01846,0.9928097
78,-0.01844,0.9927983
79,-0.01842,0.9927869
80,-0.0184,0.99277556
81,-0.01838,0.992764
82,-0.01836,0.9927526
83,-0.01834,0.9927411
84,-0.01832,0.9927296
85,-0.0183,0.99271804
86,-0.01828,0.9927066
87,-0.01826,0.992695
88,-0.01824,0.99268335
89,-0.01822,0.9926718
90,-0.0182,0.9926602
91,-0.01818,0.9926486
92,-0.01816,0.9926369
93,-0.01814,0.99262536
94,-0.01812,0.99261355
95,-0.0181,0.99260193
96,-0.01808,0.9925901
97,-0.01806,0.9925784
98,-0.01804,0.99256665
99,-0.01802,0.99255484
100,-0.018000000000000002,0.99254304
101,-0.01798,0.9925313
102,-0.01796,0.99251944
103,-0.01794,0.99250764
104,-0.01792,0.9924958
105,-0.0179,0.9924838
106,-0.01788,0.992472
107,-0.01786,0.99245995
108,-0.01784,0.9924481
109,-0.01782,0.9924362
110,-0.0178,0.9924241
111,-0.01778,0.9924121
112,-0.01776,0.9924001
113,-0.01774,0.992388
114,-0.01772,0.99237597
115,-0.0177,0.9923639
116,-0.01768,0.99235183
117,-0.017660000000000002,0.9923397
118,-0.01764,0.99232763
119,-0.01762,0.99231535
120,-0.0176,0.99230325
121,-0.01758,0.99229103
122,-0.01756,0.99227875
123,-0.01754,0.99226665
124,-0.01752,0.99225444
125,-0.0175,0.9922421
126,-0.01748,0.9922298
127,-0.01746,0.9922175
128,-0.01744,0.99220514
129,-0.01742,0.9921928
130,-0.0174,0.9921804
131,-0.01738,0.99216807
132,-0.01736,0.9921556
133,-0.01734,0.9921433
134,-0.017320000000000002,0.9921308
135,-0.0173,0.99211824
136,-0.01728,0.9921058
137,-0.01726,0.99209327
138,-0.01724,0.9920808
139,-0.01722,0.99206823
140,-0.0172,0.9920557
141,-0.01718,0.9920432
142,-0.01716,0.9920305
143,-0.01714,0.9920179
144,-0.01712,0.9920052
145,-0.0171,0.99199265
146,-0.01708,0.9919799
147,-0.01706,0.9919672
148,-0.01704,0.99195445
149,-0.01702,0.9919417
150,-0.017,0.99192894
151,-0.016980000000000002,0.9919162
152,-0.01696,0.9919034
153,-0.01694,0.9918905
154,-0.01692,0.9918777
155,-0.0169,0.99186474
156,-0.01688,0.9918519
157,-0.01686,0.99183905
158,-0.01684,0.9918261
159,-0.01682,0.9918132
160,-0.0168,0.99180025
161,-0.01678,0.99178725
162,-0.01676,0.99177426
163,-0.01674,0.9917611
164,-0.01672,0.9917481
165,-0.0167,0.99173504
166,-0.01668,0.9917219
167,-0.01666,0.9917088
168,-0.016640000000000002,0.99169564
169,-0.01662,0.9916826
170,-0.0166,0.9916694
171,-0.01658,0.9916562
172,-0.01656,0.99164295
173,-0.01654,0.9916297
174,-0.01652,0.9916165
175,-0.0165,0.99160326
176,-0.01648,0.9915899
177,-0.01646,0.9915766
178,-0.01644,0.9915632
179,-0.01642,0.9915499
180,-0.0164,0.9915365
181,-0.01638,0.991523
182,-0.01636,0.99150974
183,-0.01634,0.9914962
184,-0.01632,0.9914828
185,-0.016300000000000002,0.9914693
186,-0.01628,0.99145573
187,-0.01626,0.9914422
188,-0.01624,0.99142873
189,-0.01622,0.9914151
190,-0.0162,0.9914015
191,-0.01618,0.99138784
192,-0.01616,0.9913742
193,-0.01614,0.99136055
194,-0.01612,0.99134684
195,-0.0161,0.9913331
196,-0.01608,0.9913195
197,-0.01606,0.99130565
198,-0.01604,0.99129194
199,-0.01602,0.99127823
200,-0.016,0.99126434
201,-0.01598,0.99125046
202,-0.015960000000000002,0.9912367
203,-0.01594,0.9912228
204,-0.01592,0.99120885
205,-0.0159,0.99119496
206,-0.01588,0.99118096
207,-0.01586,0.991167
208,-0.01584,0.99115306
209,-0.01582,0.9911391
210,-0.0158,0.991125
211,-0.01578,0.991111
212,-0.01576,0.99109685
213,-0.01574,0.99108285
214,-0.01572,0.9910687
215,-0.0157,0.99105453
216,-0.01568,0.9910404
217,-0.01566,0.9910262
218,-0.01564,0.991012
219,-0.01562,0.9909977
220,-0.0156,0.9909834
221,-0.01558,0.99096924
222,-0.015560000000000001,0.9909549
223,-0.01554,0.99094063
224,-0.015519999999999999,0.99092627
225,-0.0155,0.99091184
226,-0.01548,0.9908975
227,-0.01546,0.99088305
228,-0.015439999999999999,0.9908686
229,-0.01542,0.9908542
230,-0.0154,0.9908397
231,-0.015380000000000001,0.9908252
232,-0.01536,0.9908107
